LPG,CO,Smoke
0.00944458,0.00663095,0.0255612
0.00909543,0.00629451,0.0245531
0.00743056,0.0047598,0.0197842
0.0104238,0.00759978,0.0284018
0.01023,0.00740515,0.0278381
0.00737844,0.00471371,0.019636
0.0104429,0.00761899,0.0284573
0.00762457,0.00493244,0.0203365
0.00629033,0.00378075,0.0165591
0.00645971,0.0039222,0.0170359
0.00896751,0.00617246,0.0241844
0.00842944,0.00566644,0.0226376
0.00752667,0.00484511,0.0200577
0.00589748,0.0034583,0.0154568
0.0113382,0.00853649,0.0310708
0.00753883,0.00485593,0.0200923
0.00722219,0.00457629,0.0191922
0.0069658,0.00435324,0.0184653
0.00935963,0.00654865,0.0253157
0.00716857,0.00452938,0.01904
0.00902448,0.00622673,0.0243486
0.00795593,0.00523121,0.0212819
0.00890375,0.00611188,0.0240008
0.0075985,0.00490915,0.0202622
0.00699285,0.00437663,0.0185419
0.0121806,0.00942559,0.033543
0.00729766,0.00464252,0.0194064
0.00691408,0.00430863,0.0183189
0.00469055,0.00251998,0.0121031
0.00686457,0.00426603,0.0181788
0.00644729,0.00391178,0.0170009
0.00718343,0.00454237,0.0190822
0.00971947,0.00689922,0.0263567
0.00800365,0.00527464,0.0214183
0.00816993,0.00542672,0.021894
0.0073212,0.00466323,0.0194733
0.00668737,0.00411456,0.0176779
0.0114001,0.00860105,0.0312522
0.00699225,0.00437611,0.0185402
0.00707837,0.00445079,0.0187842
0.00666606,0.00409645,0.0176178
0.00604161,0.00357567,0.0158607
0.00730014,0.0046447,0.0194135
0.00571198,0.00330884,0.0149381
0.0080727,0.00533764,0.0216157
0.00905553,0.00625637,0.0244381
0.00796098,0.00523581,0.0212964
0.00835613,0.00559843,0.0224274
0.00764158,0.00494767,0.0203849
0.0078412,0.00512722,0.0209543
0.00722876,0.00458204,0.0192108
0.00987523,0.00705252,0.0268081
0.00703144,0.00441005,0.0186512
0.00722167,0.00457582,0.0191907
0.00687561,0.00427553,0.01821
0.00841603,0.00565398,0.0225991
0.0081675,0.00542448,0.021887
0.00754976,0.00486568,0.0201234
0.00900096,0.0062043,0.0242808
0.00635662,0.00383594,0.0167456
0.00794961,0.00522547,0.0212639
0.00703128,0.00440991,0.0186507
0.00608116,0.00360808,0.0159716
0.00650682,0.00396179,0.0171686
0.00930001,0.00649105,0.0251435
0.00978349,0.00696212,0.0265422
0.00571553,0.00331168,0.014948
0.0064823,0.00394117,0.0170995
0.00614084,0.00365711,0.0161391
0.00718713,0.0045456,0.0190926
0.00807545,0.00534015,0.0216236
0.00918903,0.00638423,0.0248231
0.00763003,0.00493733,0.020352
0.00852491,0.00575535,0.0229116
0.00749126,0.00481363,0.0199569
0.00731512,0.00465788,0.019456
0.00911895,0.00631702,0.0246209
0.00694978,0.00433941,0.0184199
0.00672737,0.00414863,0.0177909
0.00652286,0.0039753,0.0172138
0.0102652,0.00744043,0.0279405
0.00858503,0.00581153,0.0230842
0.00773206,0.00502883,0.0206429
0.00595763,0.00350715,0.0156253
0.00736673,0.00470337,0.0196027
0.00786797,0.00515143,0.0210307
0.00789601,0.00517682,0.0211107
0.011134,0.00832478,0.0304737
0.00900416,0.00620736,0.02429
0.0083475,0.00559043,0.0224026
0.00748886,0.0048115,0.0199501
0.0088275,0.00603964,0.0237813
0.00534583,0.00301928,0.0139175
0.00879831,0.00601205,0.0236973
0.00655932,0.00400605,0.0173166
0.00882056,0.00603307,0.0237613
0.00632995,0.00381371,0.0166706
0.00737028,0.00470651,0.0196128
0.00568486,0.00328715,0.0148623
0.00668201,0.00411001,0.0176628
0.00748021,0.00480382,0.0199254
0.00639009,0.00386389,0.0168398
0.00801432,0.00528436,0.0214488
0.00787896,0.00516138,0.0210621
0.0091776,0.00637325,0.0247901
0.00771768,0.00501591,0.0206019
0.00584951,0.00341947,0.0153226
0.0073839,0.00471853,0.0196515
0.0108991,0.00808291,0.0297872
0.00833461,0.0055785,0.0223657
0.0094123,0.00659965,0.0254679
0.00886612,0.0060762,0.0238925
0.00601583,0.0035546,0.0157884
0.00779881,0.00508894,0.0208333
0.009484,0.00666924,0.0256752
0.00717474,0.00453477,0.0190575
0.008049,0.00531599,0.021548
0.00697976,0.00436531,0.0185048
